module_id,module_code,module_title,group_code,group_title,measure_id,measure_code,measure_title,responsible,lifecycle_stage,security_component,submeasure_code,submeasure_letter,submeasure_body,assignees,security_codes
982ac15c4a71ff03c1e31be1786c86b9,GRC.7,GRC.7: Auditid ja läbivaatused,3.2,3.2 Põhimeetmed,18f57d284e4f8e7bfbb4ba085dd7c131,GRC.7.M1,GRC.7.M1 Auditite ja läbivaatuste vastutaja määramine,Organisatsiooni juhtkond,Kavandamine,,GRC.7.M1.a,a,"Organisatsiooni juhtkond on määranud vastutaja, kes:
koostab läbivaatuse tegevusplaani ja valib meeskonna;
vajadusel tellib välise vastavusauditi ja haldab välise vastavusauditi lepingut;
on kontaktpunktiks kõigile osapooltele läbivaatuse või auditi toimumise ajal;
korraldab audiitoritega suhtluse ja infovahetuse protseduurid.",Organisatsiooni juhtkond,
982ac15c4a71ff03c1e31be1786c86b9,GRC.7,GRC.7: Auditid ja läbivaatused,3.2,3.2 Põhimeetmed,7275e4f3d28a82c0d131e529408c23e1,GRC.7.M2,GRC.7.M2 Läbivaatuse teostamise kord,Organisatsiooni juhtkond,Käitamine,,GRC.7.M2.a,a,"Enne läbivaatuse alustamist lepitakse kokku läbivaatuse käsitlusala, eesmärgid ja läbiviija(d).",Organisatsiooni juhtkond,
982ac15c4a71ff03c1e31be1786c86b9,GRC.7,GRC.7: Auditid ja läbivaatused,3.2,3.2 Põhimeetmed,7275e4f3d28a82c0d131e529408c23e1,GRC.7.M2,GRC.7.M2 Läbivaatuse teostamise kord,Organisatsiooni juhtkond,Käitamine,,GRC.7.M2.b,b,"Läbivaatuse tegevused hõlmavad IT- ja infoturbe dokumentatsiooni asja- ja ajakohasuse kontrolle, intervjuusid, meetmete toimimise teste ja paikvaatluseid.",Organisatsiooni juhtkond,
982ac15c4a71ff03c1e31be1786c86b9,GRC.7,GRC.7: Auditid ja läbivaatused,3.2,3.2 Põhimeetmed,7275e4f3d28a82c0d131e529408c23e1,GRC.7.M2,GRC.7.M2 Läbivaatuse teostamise kord,Organisatsiooni juhtkond,Käitamine,,GRC.7.M2.d,d,Läbivaatuse protseduurid ja leiud dokumenteeritakse.,Organisatsiooni juhtkond,
982ac15c4a71ff03c1e31be1786c86b9,GRC.7,GRC.7: Auditid ja läbivaatused,3.2,3.2 Põhimeetmed,7275e4f3d28a82c0d131e529408c23e1,GRC.7.M2,GRC.7.M2 Läbivaatuse teostamise kord,Organisatsiooni juhtkond,Käitamine,,GRC.7.M2.e,e,Läbivaatuse läbiviijatele on tagatud läbivaatuseks vajalikud juurdepääsud ja pääsuõigused.,Organisatsiooni juhtkond,
982ac15c4a71ff03c1e31be1786c86b9,GRC.7,GRC.7: Auditid ja läbivaatused,3.2,3.2 Põhimeetmed,895fa215d24c2ba350a6f6249ed66513,GRC.7.M5,GRC.7.M5 Lõimimine infoturbeprotsessi,Infoturbejuht,Käitamine,,GRC.7.M5.a,a,Regulaarseid auditeid ja läbivaatusi käsitletakse osana organisatsiooni infoturbe halduse süsteemist ja turbeprotsessist ning need algatatakse infoturbe halduse süsteemi toimimise kontrolliks ja võimalike parenduskohtade tuvastamiseks.,Organisatsiooni juhtkond,
982ac15c4a71ff03c1e31be1786c86b9,GRC.7,GRC.7: Auditid ja läbivaatused,3.2,3.2 Põhimeetmed,895fa215d24c2ba350a6f6249ed66513,GRC.7.M5,GRC.7.M5 Lõimimine infoturbeprotsessi,Infoturbejuht,Käitamine,,GRC.7.M5.b,b,Auditite ja läbivaatuste tulemusi kasutatakse infoturbe halduse süsteemi täiustamiseks.,Organisatsiooni juhtkond,
982ac15c4a71ff03c1e31be1786c86b9,GRC.7,GRC.7: Auditid ja läbivaatused,3.2,3.2 Põhimeetmed,895fa215d24c2ba350a6f6249ed66513,GRC.7.M5,GRC.7.M5 Lõimimine infoturbeprotsessi,Infoturbejuht,Käitamine,,GRC.7.M5.c,c,Auditite ja läbivaatuste tulemused ja puuduste kõrvaldamise ning kvaliteedi parandamisega seotud tegevused esitatakse regulaarselt organisatsiooni juhtkonnale.,Organisatsiooni juhtkond,
982ac15c4a71ff03c1e31be1786c86b9,GRC.7,GRC.7: Auditid ja läbivaatused,3.2,3.2 Põhimeetmed,d6b31596daaa10b8fd1376994ea64248,GRC.7.M9,GRC.7.M9 Läbivaatuse teostajate valimine,Organisatsiooni juhtkond,Kavandamine,,GRC.7.M9.b,b,"Läbivaatuse teostajad valitakse lähtudes kontrollivaldkonnast, läbivaatuse mahuhinnangutest ja kontrolliobjektide asukohtadest.",Organisatsiooni juhtkond,
982ac15c4a71ff03c1e31be1786c86b9,GRC.7,GRC.7: Auditid ja läbivaatused,3.2,3.2 Põhimeetmed,d6b31596daaa10b8fd1376994ea64248,GRC.7.M9,GRC.7.M9 Läbivaatuse teostajate valimine,Organisatsiooni juhtkond,Kavandamine,,GRC.7.M9.c,c,Läbivaatuse teostajad on sobiva kvalifikatsiooniga ja kontrollitava valdkonna suhtes neutraalsed ning sõltumatud.,Organisatsiooni juhtkond,
